번호,공원명,공원종류,행정동,소 재 지,계,발광다이오드(LED),씨디엠(CDM),나트륨,기타
근-01,도안,근린공원,도안동,도안동 967 외 12필지,392,201,191,0,0
근-02,소태,근린공원,도안동,도안동 1368 외 1필지,29,1,28,0,0
근-03,봉우재,근린공원,관저동,관저동 1662,19,2,17,0,0
근-04,월평,근린공원,도마동,도마2동 산7-9 외 7필지,255,65,136,54,0
근-05,남선,근린공원,탄방동,탄방동 1084,404,12,122,34,236
근-06,둔지미1,근린공원,둔산동,둔산동 956,19,0,19,0,0
근-07,둔지미2,근린공원,둔산동,둔산동 953 외 1필지,17,0,17,0,0
근-08,둔지미3,근린공원,둔산동,둔산동 1375,24,0,24,0,0
근-09,샘머리1,근린공원,둔산동,둔산동 1379,46,0,46,0,0
근-10,샘머리2,근린공원,둔산동,둔산동 1381,54,0,54,0,0
근-11,샘머리3,근린공원,둔산동,둔산동 1382,147,147,0,0,0
근-12,보라매1,근린공원,둔산동,둔산동 1544,180,134,46,0,0
근-13,보라매2,근린공원,탄방동,탄방동 589 외 1필지,70,0,8,0,62
근-14,보라매3,근린공원,탄방동,탄방동 1453,36,0,36,0,0
근-15,은평,근린공원,월평동,월평동 313,92,48,44,0,64
근-16,씨애틀,근린공원,둔산동,둔산동 1385,14,6,8,0,0
근-17,변동,근린공원,도마동,도마1동 산-1,33,0,33,0,0
근-18,가수원,근린공원,가수원동,가수원동 802-1,47,0,21,26,0
근-19,느리울,근린공원,관저동,관저동 1419,37,0,0,37,0
근-21,신선암,근린공원,관저동,관저동 1151,21,0,21,0,0
근-22,장갓골,근린공원,관저동,관저동 1129,65,0,0,25,40
근-24,복수,근린공원,복수동,복수동 산2-3,0,0,0,0,0
근-25,구봉,근린공원,관저동,관저동 1642,18,0,0,18,0
문-01,갈마,문화공원,갈마동,갈마1동 820,105,0,59,34,12
체-01,하늘아래,체육공원,관저동,관저동 산 78-1,101,14,0,65,22
체-02,도마실,체육공원,도마동,도마동 567,62,0,62,0,0
체-03,옥녀봉,체육공원,도안동,도안동 971,32,3,29,0,0
쌈-01,내동1,쌈지공원,내동,내동 산8-1,8,0,0,8,0
쌈-02,내동2,쌈지공원,내동,내동 23-10,8,5,3,0,0
쌈-03,도마,쌈지공원,도마동,도마동 155-24,1,0,1,0,0
수-01,용소,수변공원,가수원동,가수원동 1072,15,0,15,0,0
가로-01,우정,가로공원,괴정동,괴정동 425-1,6,0,6,0,0
어-01,중보,어린이공원,만년동,만년동 24,6,0,6,0,0
어-02,만년,어린이공원,만년동,만년동 175,5,0,5,0,0
어-03,청산,어린이공원,만년동,만년동 7,6,0,6,0,0
어-04,월평,어린이공원,월평동,월평1동 405,8,0,8,0,0
어-05,섬말,어린이공원,월평동,월평1동 1046,10,0,10,0,0
어-06,새뜸,어린이공원,월평동,월평1동 1308,6,0,6,0,0
어-07,사정,어린이공원,월평동,월평1동 599,8,0,8,0,0
어-08,반달,어린이공원,월평동,월평1동 801,8,0,8,0,0
어-09,뒤뜰,어린이공원,갈마동,갈마1동 295-17,13,0,4,0,9
어-10,안산뜸,어린이공원,갈마동,갈마1동 363-1,7,0,7,0,0
어-11,한마음,어린이공원,갈마동,갈마1동 392-6,20,0,20,0,0
어-12,명학,어린이공원,갈마동,갈마2동 985,4,0,4,0,0
어-13,건능골,어린이공원,갈마동,갈마2동 402-1,3,0,3,0,0
어-14,우마장,어린이공원,갈마동,갈마1동 408-3,2,0,2,0,0
어-15,안골,어린이공원,내동,내동 161-7,4,0,4,0,0
어-17,목운,어린이공원,변동,변동 254-182,5,0,5,0,0
어-18,평화,어린이공원,변동,변동 254-364,5,0,5,0,0
어-19,상촌,어린이공원,갈마동,갈마2동 1318,6,0,6,0,10
어-20,지치울,어린이공원,괴정동,과정동 123-6,4,0,4,0,0
어-21,웅기,어린이공원,괴정동,괴정동 138-5,4,0,4,0,0
어-22,예정,어린이공원,내동,내동 16-1,7,0,7,0,0
어-23,들말,어린이공원,가장동,가장동 405,8,8,0,0,0
어-25,백운,어린이공원,괴정동,괴정동 51-1,5,0,5,0,0
어-26,새들,어린이공원,괴정동,가장동 23-1,8,0,4,0,4
어-27,윗둔지미,어린이공원,둔산동,둔산동 1191,16,0,0,16,0
어-28,계룡,어린이공원,둔산동,둔산동 1234,9,0,0,9,0
어-29,새말,어린이공원,둔산동,탄방동 780,9,0,0,9,0
어-30,문정,어린이공원,둔산동,둔산동 2006,9,0,9,0,0
어-31,도산,어린이공원,탄방동,탄방동 1051,4,0,4,0,0
어-32,용문,어린이공원,용문동,용문동 232-1,4,0,4,0,0
어-33,송산,어린이공원,도마동,도마1동 207-3,2,0,2,0,0
어-34,용화,어린이공원,도마동,도마1동 45-1,4,0,0,4,0
어-35,변정,어린이공원,변동,변동 45-1,5,0,5,0,0
어-36,도화,어린이공원,도마동,도마1동 132-4,4,0,0,4,0
어-37,제비네,어린이공원,도마동,도마1동 165-1,4,0,4,0,0
어-38,오량,어린이공원,복수동,복수동 287-4,5,0,0,0,5
어-39,원모,어린이공원,가수원동,가수원동 769-1,13,0,13,0,0
어-40,구봉,어린이공원,가수원동,가수원동 788-4,12,0,0,12,0
어-41,백야,어린이공원,가수원동,가수원동 815-6,10,0,0,10,0
어-42,강변,어린이공원,정림동,정림동 563,9,0,9,0,0
어-43,계림,어린이공원,정림동,정림동 18-16,0,0,0,0,0
어-44,수밋들,어린이공원,정림동,정림동 635,19,19,0,0,0
어-45,정림,어린이공원,정림동,정림동 668,7,0,7,0,0
어-46,서낭당,어린이공원,복수동,복수동 569,8,0,8,0,0
어-47,신계,어린이공원,복수동,복수동 453,7,0,7,0,0
어-48,샛별,어린이공원,복수동,복수동 503,12,2,10,0,0
어-49,방울샘,어린이공원,복수동,복수동 782,8,0,8,0,0
어-50,옻샘,어린이공원,복수동,복수동 815,12,0,12,0,0
어-51,벌말,어린이공원,복수동,복수동 646,10,0,10,0,0
어-52,천변,어린이공원,복수동,복수동 689,10,0,10,0,0
어-53,느티나무,어린이공원,복수동,복수동 898,8,0,8,0,0
어-54,원앙,어린이공원,관저동,관저동 1004,8,0,8,0,0
어-55,봉우재,어린이공원,관저동,관저동 985,5,0,5,0,0
어-56,금성,어린이공원,관저동,관저동 991,5,0,5,0,0
어-57,만수,어린이공원,관저동,관저동 1000,6,0,6,0,0
어-58,금동,어린이공원,관저동,관저동 1138,8,0,8,0,0
어-59,서당,어린이공원,관저동,관저동 1145,4,0,4,0,0
어-60,장가동,어린이공원,관저동,관저동 1131,6,6,0,0,0
어-61,요동,어린이공원,관저동,관저동 1134,8,0,8,0,0
어-62,돌샘,어린이공원,관저동,관저동 1149,5,0,5,0,0
어-63,관저,어린이공원,관저동,관저동 1156,6,0,0,6,0
어-64,새아름,어린이공원,관저동,관저동 1247,6,0,0,6,0
어-65,선암,어린이공원,관저동,관저동 1063,2,0,2,0,0
어-66,모롱이,어린이공원,관저동,관저동 1421,4,0,4,0,0
어-74,선유,어린이공원,관저동,관저동 1365,4,0,4,0,0
어-75,시롱,어린이공원,관저동,관저동 1397,6,0,6,0,0
어-78,찬샘,어린이공원,관저동,관저동 1393,6,0,0,6,0
어-79,두레박,어린이공원,흑석동,흑석동 842,3,0,0,3,0
어-80,금평,어린이공원,흑석동,흑석동 983,3,0,0,3,0
어-81,원도안,어린이공원,도안동,도안동 1113,5,0,5,0,0
어-82,나비,어린이공원,도안동,도안동 1401,4,0,4,0,0
어-83,바다,어린이공원,가수원동,가수원동 1091,6,0,6,0,0
어-84,미나리,어린이공원,가수원동,가수원동 1237,4,0,4,0,0
어-85,윗용소,어린이공원,가수원동,가수원동 925,9,0,9,0,0
어-87,용소,어린이공원,가수원동,가수원동 989,6,0,6,0,0
어-88,햇살아래,어린이공원,관저동,관저동 1574,10,0,0,10,0
어-89,느리울,어린이공원,관저동,관저동 349-2,9,0,0,9,0
어-90,창골,어린이공원,관저동,관저동 1603,7,0,0,7,0
어-91,동방,어린이공원,관저동,관저동 1616,6,0,0,6,0
어-92,불티,어린이공원,복수동,복수동 1005,10,10,0,0,0
